Job ID,Location ID,Title,Final URL,Image URL,Subtitle,Description,Category,Contextual keywords,Address,Salary,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID
2329583-A,DNI,生産管理（生地・縫製）,,,キャリアリンク (仲介求人),  自社の縫製品を委託できる工場の選定とその委託工場の生産、品質管理繊維関連の仕入れ先の選定複数の委託工場の品質管理と納期管理自社工場の生産管理と在庫管理 勤務時間：8:00～17:00勤務日：月～土曜、土曜日隔週休み,"マーチャンダイザー,生産管理,倉庫管理","","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD2,500.00 - USD3,500.00",,,,,,
2330100-A,DNI,製造管理（電子部品・縫製）,,,キャリアリンク (仲介求人),自社工場内の製造管理及び工程改善業務不良品発生時の対応教育業務（技術指導が出来れば尚可） 勤務時間：8:00～17:00勤務日：月～土曜、土曜日隔週休み,"生産管理,品質管理または品質保証,製造管理","","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD2,500.00 - USD3,500.00",,,,,,
2333183-A,HN,It講師（ハノイ勤務）,,,キャリアリンク (仲介求人),【仕事内容】■ It日本語授業・ビジネスマナー授業・週8～16コマ/1コマ45分・各クラスは 名ほどで、レベルはn3～N2レベルの学生＊学生の日本語レベルはn3～N2ですので日本語のみでの授業が可能です。 　実施カリキュラム例　　・Webフレームワークの習得　　・フロントエンド・バックエンド言語の習得　　・チーム開発(アジャイル開発)の習得　　・プロジェクト管理(Git・GitHub)の習得　　・ITの専門用語の習得　　・報連相の方法　　・原因分析の方法　　・仕様書の作り方　　・模擬プロジェクトの実施 など　　　※ より実践的な授業にするために、チャットツールやGoogle Driveを使った授業展開も実施　　■ ベトナム人it日本語講師の教育（資料チェック・授業fb） ■ 補講クラス授業・面接対策や日本での働き方学習などの、総合的な日本企業の就職支援授業   7：45～16：45■完全週休2日制（土・日・祝祭日）■年末年始休暇（ベトナムにおいては旧正月休暇）■育児休暇■介護休暇■慶弔休暇※年間休日 120日以上   ■Financial・ストックオプション・従業員持株会・はぐくみ基金 ■Health・定期健康診断・インフルエンザワクチン接種・産業医面談・SickLeave ■Work Style・マンスリーフレックスタイム / 裁量労働制・オフィス出社 / リモートワーク自由・フリードリンク・希望pc支給 / ディスプレイ貸与・服装自由・リモートワーク手当 / ネットワークサポート手当・入社時特別休暇 ■Life Style・産前産後休暇・育児休業・時短勤務・介護休業・休暇・慶弔休暇・見舞金・子育てコミュニティ・家事代行サポート ■Community・Shuffule Lunch・部活支援・ワーケーションサポート ■Challenge・勉強会実施サポート・副業（許可制）・資格取得制度・書籍購入補助制度 ■その他・交通費全額支給・各種保険完備・オフィス内全面禁煙,"エンジニア,教育 / 訓練 / 日本語教師","","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","Yen4,000,000.00 - Yen6,000,000.00",,,,,,
2334365-A,HN,Bto B営業(電気電子資材),,,キャリアリンク(仲介求人),・電子資材・電子部品の商社営業(仕入れ業務&amp;顧客への販売)。・同社の海外拠点との情報交換、ビジネス連携。・社内営業関連帳票類の確認(契約書、見積書、他営業関連書類)。・営業情報の取りまとめ報告。・就業時間:月〜金曜日 8:00〜17:00・休日:日曜日・土曜日・多少、残業、休日出勤あり・ベトナムへの渡航費用:会社負担・Visa・労働許可証の取得費用:会社負担・海外傷害保険：会社負担・顧客訪問時に移動手段:タクシーまたは社用車,営業・企画営業（法人向け）,"","Room 307, 535 Kim Ma, ハノイ","USD2,500.00 - USD3,500.00",,,,,,
2392254-A,DNI,品質保証マネージャー（電子部品）,,,キャリアリンク (仲介求人),品質保証業務統括及び品質保証業務全般に関する本社との折衝業務品質管理責任者 、環境管理責任者としての役割も担当頂きます。Iso 、Iatf16949に関する統括業務(と、その報告業務)社内外監査対応 市場クレーム対応 部下の育成 特命事項 ＜勤務時間＞勤務時間：8:00～17:00勤務日：月～土（土曜隔週休み）,"工場生産・製造（輸送用機器・家電・電子機器系）,品質管理または品質保証,エンジニア","","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","Yen300,000.00 - Yen500,000.00",,,,,,
2448802-A,JK,営業マネージャー＜Jp591122＞,,,Os Selnajaya,サービスアパートのセールス・マーケティング業務、ローカルスタッフのマネージメント、責任者としてのクレーム・トラブル対応　等 ■給与：支払いはルピア ■住居：サービスアパートの１室支給 ■通勤：なし（サービスアパート内居住） ■その他：就労ビザ、Bpjs、賞与あり、Thrなし 勤務地：チカラン,営業・企画営業（法人向け）,"","Menara Astra, 55th Floor Jl Jendral Sudirman Kav 5-6 Jakarta 10220 Indonesia, ジャカルタ","IDR20,000,000.00 - IDR35,000,000.00",,,,,,
2452182-A,HN,小学校教諭(学校),,,キャリアリンク (仲介求人),小学校教諭としての業務全般。 • 勤務時間: 7: :40、1 日 8 時間、週 5 日 • 有給休暇: 祝祭日の休暇はベトナムの法令に従う。 冬休み:2 週間 前期の中期休み:1 週間 ベトナム旧正月休み:政府の当年度の決定に従う。 後期の中期休みおよび 4 月 30 日(戦勝記念日)および 5 月 1 日(国際 労働記念日)の休暇:1 週間 夏休み:4 週間 病気休暇:5 日(医療機関により発行された診断書の提出が必要です) 代休日:4 日/年(学校の行事により出勤しなければならない週休日を 代休して勤務日において休暇を取ることができる。)  ,教育 / 訓練 / 日本語教師,"","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD1,800.00 - USD2,000.00",,,,,,
2455302-A,BKK,Electric Engineer,,,"F 1 Tools Co.,Ltd.",省人化や自動化設備の電気回路設計、電気制御設計,その他整備・生産・製造・工事関連職,"","25/7-8 MOO5, LEABKLONG 8 ROAD, LAMULUKKA, PATHUMTHANI, THAILAND, バンコク",translation missing: ja.web.common.negotiable,,,,,,
2456670-A,HN,セールスマネージャー(ソフトウェア販売）,,,キャリアリンク (仲介求人),1. 新規顧客開拓2. 既存顧客の対応3. プロジェクト管理（オーダーメイドソフトもあり）   勤務 月ー金 8: :00   福利厚生 Visa サポート 有給給与（法定通り) 保険加入 テトボーナス,"営業・企画営業（法人向け）,エンジニア,コンサルタント","","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD1,500.00 - USD3,000.00",,,,,,
1697741-A,HY,アルマイト技術者,,,キャリアリンク (仲介求人),金属のアルマイト加工が専門。 用途は家電、自動車のエンブレム、Oa機器、オーディオのアンプ、産業用機械の名盤、カメラのメーカーロゴなど。ベトナム国内向け90％、輸出10％となっている。   ･製品の品質向上と不良品削減をベトナム人従業員へ指導して頂きます。 ※勤務開始は2020年末もしくは2021年年始からとなります。 ･年1回の日本へ一時帰国の航空券800USDまで会社支給･ハノイへ赴任時、航空券支給。･WellBeの医療保険、健康診断年1回。･ハノイから通勤車両あり。 ･8: :10･月～金曜日、隔週土曜日  ,"品質管理または品質保証,エンジニア","","270 - 272 Cong Hoa, Tan Binh Dist., ホーチミン","USD4,000.00 - USD5,000.00",,,,,,
